#ess=2071.5490659 nsamp=10357
#post like m1 m2 tRef dist phase inc lambda beta pol 
-70.9640200052 -11.8449031223 1502888.77713 498857.801283 520.318943952 41839.8080604 3.30826707262 2.13522873758 6.21160934767 0.332042116033 1.14753339139 
-65.0282762229 -4.50263834884 1499884.0779 500015.400891 -60.1294223796 43495.2770286 5.66489567008 0.998301551633 3.46233436725 1.3357563354 2.26104696876 
-63.6056917372 -4.47457995429 1501553.39859 499194.975412 515.989228169 41067.216338 0.00383200774385 2.14043459184 6.207252621 0.356830772921 1.13188344806 
-68.5107982216 -7.97079382767 1501038.60011 499665.148207 -46.8666679145 43405.302923 6.26816206167 0.975005351781 3.73142788471 1.33549170286 2.50391399482 
-68.2869418394 -9.14068023628 1501478.83962 498996.993001 493.418047027 33738.2817632 0.639539770222 2.0768216978 6.25872996049 0.477504117774 2.61590136571 
-64.6387518618 -4.02162381262 1499887.63527 500003.969671 -53.9311008669 41490.9398824 5.94452229716 1.02815740765 3.17374434824 1.36065666893 2.00983753143 
-69.3311669866 -8.04824821162 1501056.49257 499600.048762 7.05802661627 37375.5156696 4.05628527995 1.01452219046 3.79487163734 1.4624982791 1.12573525224 
-63.8532809953 -4.70976025728 1499782.42847 499999.521723 498.758298585 35415.4291908 5.58249690386 2.09250977272 6.24711326559 0.45264889266 1.06683844773 
-63.2671360758 -4.10862315341 1502165.97297 498918.080781 503.428106283 38805.0071674 4.20536916977 2.14379365085 6.18253407228 0.418945304573 2.64599206249 
-64.8107649929 -5.71302027395 1501480.7247 499162.949903 521.128138026 39927.3381317 1.78105053095 2.09918481838 0.0107927225158 0.334578036443 2.71639497347 
-64.8494927668 -3.50423069566 1499784.09854 500059.470105 4.3176714687 36539.2457897 5.484746926 1.04215568056 3.53131625875 1.47074632061 2.4366133535 
-63.5559789321 -4.44292647659 1501542.1265 499245.341195 512.614035901 37928.5776241 4.57245052671 2.09341649524 0.00165862793437 0.383703010956 2.68506756062 
-65.7343555839 -4.97283176123 1500350.91965 499899.400337 -17.7758564766 41778.5563439 2.90777976601 0.961283274195 3.90728202302 1.38107148256 1.16399541089 
-68.1762489651 -8.9735265401 1501405.43984 499164.198067 474.266055784 32790.8931719 4.61623030596 2.11514031505 6.141529563 0.538490168761 0.927723029743 
-65.5024423693 -6.379300809 1498198.81313 500404.194637 515.241379334 39636.2844037 3.13127647242 2.11840763723 6.24809542873 0.371561139276 1.12430633521 
-62.4538709643 -3.32514197344 1499082.74806 500014.095961 502.304247145 35254.5942484 5.72577743515 2.07887544137 0.00125954784764 0.438751608162 1.08389328903 
-65.0272168218 -4.29179763934 1501051.23558 499603.737222 -35.5097014825 41426.2300957 5.22838533562 1.00221370046 3.56856409909 1.38133527194 0.825312664741 
-64.1846117593 -3.46429989731 1500662.93866 499815.066695 -21.4160653415 41787.1558171 2.7353840686 0.967261613934 3.8918941557 1.37380733462 1.13691835152 
-66.4084769037 -7.25897034374 1500657.64104 499583.378378 501.89829572 37455.8700468 2.57812701289 2.12036634447 6.20582751611 0.430871292432 1.07221624376 
-64.7599237406 -5.59402837034 1502002.2389 498991.565264 505.333100186 40357.0885235 5.84139273927 2.16578678039 6.15523438793 0.402430057094 1.09646347273 
-64.9438847541 -4.18879389798 1499873.93741 500048.13774 -35.7419309193 41021.9681311 2.07872851292 1.01224199938 3.49590380645 1.38623666637 0.764912099904 
-64.0632554976 -4.90154046949 1500898.57206 499434.661805 502.659939803 38852.7828934 4.18452757296 2.14722780232 6.17218916138 0.420708912829 2.64180998496 
-69.0856977944 -7.74973702582 1499582.51336 500290.722225 16.0173513879 36539.3684714 4.46521019164 1.02187577694 3.97448298308 1.46853851497 1.31077775872 
-67.4681292012 -8.33071647154 1502872.83242 498619.018063 506.167561079 37602.4213874 5.87557970648 2.11354922713 6.2364660585 0.414206661423 1.08983189805 
