#ess=737.293369365 nsamp=3686
#post like m1 m2 tRef dist phase inc lambda beta pol 
-67.1201967007 -8.04798183509 1501202.75551 499628.156402 2.79807862849 36592.5490155 2.54037484126 1.03774688144 6.18688473964 0.235690684009 0.441456638085 
-62.4540337264 -3.3941527796 1499194.65972 500195.632336 -1.03910032691 36153.3626918 5.4613805867 1.04895980736 6.08500618611 0.211043750476 0.42041568433 
-63.9822759036 -4.91969637189 1499971.06863 500135.199719 10.0006838876 40672.5935386 2.80948743868 1.01757450457 6.12420394606 0.109694903825 0.413672146308 
-62.4364368501 -3.37219921593 1499642.71686 500193.16063 4.33762069959 37793.3762279 5.71067292747 1.03335252745 6.12159654738 0.185808040452 0.421626719722 
-63.984848905 -4.93153102847 1498668.73848 500404.893399 -5.53402369093 38665.8819887 3.64084611839 1.03266237196 5.98563081089 0.111755195878 1.97151866473 
-64.733447851 -5.67233202513 1499344.48098 500193.576761 0.863979414891 36660.3410853 5.55367199578 1.04541412393 6.1021957079 0.206760184602 0.422999403455 
-61.5219336064 -2.4679117772 1500298.23107 499823.314789 -3.1351817885 36285.3790178 5.35204956144 1.05162323435 6.04840960601 0.189759655113 0.409517866057 
-62.7854014529 -3.71863381821 1501170.21538 499594.194798 11.4068180373 40572.6502886 1.31740542969 1.0137872714 6.16257417976 0.127507100031 1.99039430421 
-60.1579482047 -1.09853338404 1500559.7708 499813.716244 2.87592695789 37333.0040925 4.07317266381 1.04126164849 6.10577708991 0.185786815204 1.99246568931 
-62.6836786603 -3.62250873761 1500129.49034 500069.064685 2.19295581133 36792.7188286 2.48068694783 1.04468601688 6.11873244369 0.203671800008 0.425583905321 
-62.808303806 -3.75064577977 1500183.99312 499890.67317 -6.42270647034 34595.4416969 3.64562286835 1.06334257574 6.0618361129 0.236776839661 1.98567398279 
-65.1866895379 -6.11521502875 1499848.88772 499982.265264 8.84266963251 38846.2015762 4.35587857582 1.02034204342 6.19043388662 0.183947713632 1.99552809951 
-62.9927912178 -3.92992357013 1499627.64253 500083.425497 0.0449150263615 35720.4568873 3.95258665163 1.0514261928 6.12194258778 0.230370877619 1.9965933797 
-68.9718573724 -9.90225548553 1498779.16554 500491.440287 5.34508277599 37217.3349255 1.06593236125 1.03515980303 6.18474273869 0.217226167787 2.00110153708 
-63.060617045 -4.00719605165 1499951.05163 499954.681739 -3.10105989932 36445.2419986 0.641299404076 1.05087238787 6.04469224787 0.18414729715 1.98242520773 
