#ess=3699.30352924 nsamp=18496
#post like mchirp eta tRef dist phase inc lambda beta pol 
-6.74522137444 -3.06131013878 18.0629393329 0.249735267449 -0.00336205680632 45.3350353093 1.71407187499 0.721800922298 3.44358795923 -0.0738467113654 0.406952663503 
-6.2807244448 -2.0474991471 18.0629395809 0.249736694301 0.00830583041545 56.707626965 5.6491928477 0.391346423053 3.44380834477 -0.0723940371185 1.10619177114 
-7.34192509236 -3.52090249029 18.0629399371 0.249736218982 0.00427674355015 49.9125115456 6.01141205653 0.614190097225 3.4426730809 -0.0787838479589 1.41376247813 
-6.37897927196 -2.82420703979 18.0629398211 0.24973590163 -0.00115773572129 42.3724002997 3.85318976708 0.850761665853 3.44386531157 -0.0731928660918 2.46090216647 
-8.50750648744 -3.84624786712 18.0629392211 0.24973662539 -0.00966764227242 55.8671302712 1.26699728424 0.251292593209 3.4435157399 -0.074676650289 3.13258947915 
-7.11220045503 -3.57817729804 18.0629393116 0.249737054224 0.00461683377864 41.5310935215 4.47720758057 0.874689706376 3.44397620802 -0.0695464858591 0.0198872208304 
-6.95173916008 -2.36085339362 18.0629394613 0.249736612902 -0.00642690734574 59.5180887971 0.497352136717 0.269917513237 3.44412264375 -0.0676672761824 2.29307951145 
-7.98292952461 -3.84770147746 18.0629396187 0.249737598955 0.00723113737216 56.5850164177 4.60232398201 0.43456028428 3.44284380401 -0.0818033649747 0.0951758181895 
-6.07534162675 -0.809200555924 18.062939662 0.249735872185 0.00340228267823 60.6617653857 4.21774297216 0.136227467572 3.44317729412 -0.0752429048788 2.84045362133 
-6.40335829524 -2.56785487898 18.0629397337 0.249737543478 -4.88596265451e-05 53.8422327343 5.03020922905 0.603937480167 3.44331849247 -0.0759705737932 0.491729952437 
-5.36485621781 -1.32802390039 18.0629398732 0.249736260473 0.00882661463116 54.9727536552 2.67481559343 0.482775324853 3.44311823735 -0.0733596177382 1.2467446968 
-6.0010701003 -1.80814697284 18.06293947 0.249737025622 0.00192163925857 53.0328304068 3.44741265043 0.408326617099 3.44331109794 -0.070782715315 2.10510996879 
-9.21506105037 -5.11463446823 18.0629401397 0.249738140299 -0.0066909917788 56.4115608263 5.43603673444 0.450894752157 3.44412432716 -0.0774821859484 0.772049858286 
-6.17974939604 -2.28725454342 18.0629395222 0.249737314963 0.00510446603273 54.0798294352 1.06649045432 0.56623798694 3.44291060456 -0.0767726528741 2.84762834177 
-6.74047683995 -2.45914865926 18.0629396283 0.249736590215 0.00694598917978 55.3881902007 3.60650338931 0.371976998517 3.44309899419 -0.0700135809574 2.25963826055 
-6.90571978325 -3.29083047917 18.0629394614 0.249737129809 -0.00134331556412 44.8246856795 4.4238286366 0.786750141712 3.44318702948 -0.0758892183751 3.12066341264 
-4.38827473852 -0.474760496574 18.0629395526 0.249736533814 -0.00874165774861 52.6357567678 0.279697065235 0.553019180278 3.44322896058 -0.0756802052937 2.05843935641 
-5.16787191539 -0.949221110801 18.0629398521 0.249736660665 0.00618944276666 58.4120780805 2.49909572452 0.397549497416 3.44366348695 -0.0767782581522 1.07127451004 
-6.47287638713 -2.45940521817 18.0629398487 0.249736154198 -0.00431394825429 55.8741236304 5.58385264651 0.495213005951 3.44435105856 -0.0735642818018 1.00389182688 
-9.39387530946 -5.86602587875 18.0629402816 0.249736450645 -0.00650968114224 39.0820392572 3.458318785 0.882669472652 3.44439283144 -0.0756088634709 1.96576125725 
-11.0988282635 -7.51100444451 18.062939932 0.249736053402 2.22065455016e-05 45.1474124872 3.59083992528 0.814005675942 3.44295397336 -0.0673690709219 2.10822050433 
