#ess=1639.61509648 nsamp=8198
#post like m1 m2 tRef dist phase inc lambda beta pol 
-63.5262210179 -4.3914481916 1499687.73657 499927.372684 503.984025568 36471.881195 5.79640208245 2.09708263858 6.25195537149 0.428944990996 1.08528107474 
-71.3592147715 -9.95721454243 1501223.77539 499625.127207 3.59919140136 35906.5745055 2.30365253632 1.05446081328 3.28410136629 1.47694275599 2.18732635758 
-63.8141410726 -2.49312717549 1499533.2108 500157.303277 0.154294813712 36600.7009534 2.14819175681 1.04682084851 3.32828941424 1.46855764021 2.23070313575 
-63.1554640726 -1.80876879557 1500437.55968 499864.507441 1.85525724358 36412.5783353 2.22408924989 1.04814558048 3.36141287134 1.47123321725 2.26372827651 
-70.2109978159 -8.97572327277 1500791.5727 499721.001854 -5.0826610034 37033.6689595 1.91086691217 1.0427929712 3.28574182472 1.45911036113 2.18233644835 
-68.9186157782 -7.67347784294 1499021.12471 500467.327546 -1.62767347116 37109.1715447 2.06803628313 1.03907108576 3.47527881958 1.45993400061 2.37127133455 
-66.1973783772 -7.06746831269 1500682.83443 499455.108402 506.904105032 37097.3188276 5.91474018917 2.10073183154 6.25395397453 0.413978928187 1.09426765698 
-66.6348795486 -5.32110853808 1500312.44596 499919.481083 -0.821586943733 36553.900912 2.10454726613 1.04719434337 3.25251176016 1.46782957627 2.15812245729 
-65.9461901845 -4.55653679243 1499892.22478 500116.478096 2.97217471282 35970.7366954 2.27158170085 1.05679741609 3.13563762909 1.47589018055 2.04776199895 
-68.4132240985 -7.21029249893 1499797.87523 500020.537006 -5.23826567346 37493.4739924 1.90017614306 1.03602364477 3.40506088709 1.45496824881 2.29853742894 
-65.3189447201 -4.07360058057 1500043.53269 499870.602194 -3.0638123409 37168.1070654 2.00263032758 1.03979766824 3.39716700126 1.46006132907 2.29522100372 
-65.6069436057 -4.36681625689 1500203.04955 499805.999455 -2.85062364429 37009.7226746 2.01054847967 1.04372205816 3.42591516891 1.45973845097 2.31904571922 
-64.4353455354 -3.09100381669 1498937.30709 500405.08313 1.08965743808 36459.8254227 2.18785666055 1.04967963812 3.26676828932 1.47107807541 2.17265593857 
-63.9052746661 -2.584084476 1500102.37391 500033.411491 1.26389361979 36710.2780201 2.1965681222 1.04317153542 3.42781269183 1.46834472272 2.32460869495 
-63.9397951515 -4.80718608294 1500656.36484 499617.586902 504.627461304 36656.2879515 5.81793076018 2.09683233277 6.25225246214 0.424448561453 1.09007807117 
-64.212572027 -2.85120791069 1500344.53616 499904.357721 2.44638723538 36399.5021218 2.24920073673 1.04698247537 3.34629366637 1.47261993178 2.24942407651 
-61.0211720426 -1.89158123091 1500261.50978 499711.558496 505.906018409 36733.2922574 5.87642810436 2.09581735985 6.26066272212 0.419201802024 1.08997480671 
-63.6449613155 -4.51330631774 1500391.71669 499633.10073 505.978420035 36900.958248 5.88149443557 2.09976087224 6.2529404049 0.418842003899 1.08576051154 
-65.428419977 -4.06936546345 1500279.78524 500017.221709 2.97316089206 36481.6426153 2.27615398844 1.04449832565 3.4228240596 1.47223196188 2.32303173686 
-64.5934318946 -3.27852207515 1499788.57653 500070.080701 0.187281702272 36509.0120765 2.14607029389 1.05023018465 3.32988603731 1.46813224831 2.2320308422 
-66.5975394179 -5.36742531403 1501003.49721 499711.42492 -4.88792282289 36912.4185871 1.92078584966 1.04814647521 3.30859664127 1.45886568022 2.20748943097 
-63.7771696675 -2.4615165072 1500030.55241 500007.627353 0.0273801163839 36663.7316887 2.13749067328 1.04522384412 3.33219933497 1.46790740586 2.23214213773 
-63.8914661398 -4.76240867574 1501145.48892 499393.198661 505.228412668 36492.661698 5.83969497738 2.09311335769 6.26466781005 0.421609335606 1.0917596961 
-64.1009388536 -4.97286368953 1501560.43747 499290.831212 505.796430809 36632.3323759 5.86378666785 2.09340079962 6.26570742395 0.418881013109 1.09016113529 
-62.9361307623 -1.59630120755 1500046.7684 499884.04849 1.23248825864 36404.6191496 2.19473839668 1.04997211218 3.32660583773 1.47067280102 2.22966950408 
-68.391360349 -7.21885101264 1499822.32 500053.887335 -7.42688380809 37469.042067 1.80794803632 1.04043857858 3.38852291666 1.45167538465 2.28132837223 
-65.0005914577 -3.66456998978 1500990.49449 499693.504533 1.55321278045 36629.4186884 2.21431826294 1.04357518609 3.40817121714 1.46989091437 2.30958588306 
-66.8343111206 -5.47231645649 1499988.9966 499937.840871 4.31490010687 36599.1217438 2.33745974997 1.04047737312 3.49494547285 1.47232545628 2.39492845754 
-62.3204931396 -3.18872849247 1500440.33387 499604.634347 504.465378685 36400.9343768 5.81536530412 2.09430359656 6.26205575136 0.426191278824 1.08617769182 
-64.4321438885 -3.12536907487 1500633.33993 499687.119253 -0.625405943931 36597.6906085 2.11477667635 1.04758567798 3.33323141266 1.46715369681 2.23620005272 
-65.8562619324 -6.72807105281 1499429.79009 500025.668893 508.048821433 37480.8664617 5.97380244723 2.10154558819 6.2517674692 0.40823806612 1.09480432824 
-65.6983739102 -4.40096118557 1501127.96221 499711.59452 -0.825284773708 36834.6343418 2.10457573884 1.04321215425 3.37031764199 1.46586882929 2.26906990471 
-69.4267815959 -8.19504121295 1501709.76992 499253.077058 -4.25592740654 37250.5388156 1.9518642484 1.0379175789 3.40238923072 1.45842767355 2.29573949109 
-66.3160027495 -4.97017170454 1501421.8317 499441.66932 0.952963955443 36306.0786512 2.18093669651 1.0506884658 3.27292684914 1.47131178989 2.17607353695 
-65.3759036533 -4.08809373295 1500009.14207 500167.306158 -0.586604700759 36796.9278324 2.11725341739 1.0425811476 3.41979688571 1.46479580237 2.31857215259 
-64.7605003058 -5.62845690816 1500907.22729 499423.03004 503.802289804 36224.2366438 5.7796673985 2.09253638431 6.26981527566 0.42915129862 1.08939243275 
-63.7440178493 -2.48974055401 1500109.69339 500016.161379 -2.65841915165 37034.6233928 2.01702382971 1.04210495794 3.39078054446 1.46116203808 2.28427435406 
-67.4871663077 -6.11709038098 1499482.23298 500255.222703 2.77155853333 36385.6631964 2.26062656059 1.04668083915 3.33341353886 1.47344482938 2.23502852444 
-68.0613473004 -6.64989254426 1499076.59703 500129.164708 5.28444067775 36172.4724797 2.37730834222 1.0492497309 3.36947555008 1.47759010697 2.27532156781 
-67.5936193452 -8.46127094503 1499745.35704 499945.32947 507.042876556 37550.6633349 5.92973565549 2.10581912494 6.24023914761 0.411889324338 1.0931731245 
-64.190699313 -2.9190765064 1499934.23882 499934.982567 -2.87891254373 36656.2254209 2.00910322377 1.05093533714 3.24952652567 1.46363561978 2.15193063228 
