#ess=2091.47197639 nsamp=10457
#post like m1 m2 tRef dist phase inc lambda beta pol 
-64.358080462 -5.09523516355 1500232.61212 500080.75275 -328.457606888 35865.8002744 2.94451013935 2.09090137817 2.9574420458 -0.647205505221 2.46724755199 
-67.2101069732 -6.47342506598 1496425.82861 501057.29115 2.0974035415 36284.416747 5.1004373274 1.05151463532 2.39398910925 -1.38723528614 1.52533860424 
-64.1680137317 -3.47083038923 1502425.1243 499196.482357 7.20926675765 37708.6327231 5.35962598017 1.03762116602 2.19413824723 -1.37812823393 1.72642921106 
-65.3569686532 -4.6697969731 1497792.46653 500771.862971 -1.36748411106 36317.4627891 4.94252425742 1.04788206237 2.3446278741 -1.37732879893 1.55144070074 
-62.7357375874 -2.06826351564 1500770.0828 499973.860309 -3.6396644298 36615.8294804 4.88805781568 1.04408887668 2.26812601356 -1.37291183686 1.63805861736 
-64.4141079626 -3.66281698958 1499867.13197 499981.257734 11.0803969671 37943.8616893 5.50979953973 1.03118640533 2.1897645175 -1.38771099425 1.7108441959 
-62.7886481982 -2.14227077565 1501057.30488 499641.917609 -0.143631906618 36744.0139023 5.01681436943 1.04340202134 2.25635553089 -1.36864996852 1.64704325517 
-70.5436298956 -9.88570154466 1504396.29487 498675.152958 -2.74454710742 37063.0553383 4.92622687798 1.03792896003 2.28353286059 -1.3702945138 1.64119673572 
-66.8330417498 -6.15058787982 1504055.57907 498422.274677 -2.49082884649 36979.2262741 4.94684765384 1.0360846474 2.2883462816 -1.37514523139 1.6397007375 
-67.26104988 -6.43294442585 1503700.07953 498557.014901 13.1072052507 39457.0227989 5.63465483835 1.00729517459 2.19004943702 -1.39890303272 1.73049669202 
-61.285375104 -2.02038988072 1496372.58861 501632.097041 -325.318441318 35683.7167444 3.0479227391 2.08450530851 2.95626317612 -0.65410832369 2.47896279668 
-66.0684538469 -5.47733233699 1500176.0074 500173.917018 -9.6333800188 34586.5175809 4.60997465555 1.07858085231 2.30750929084 -1.36111854829 1.59948661852 
-62.2435638275 -1.58851382232 1499540.78226 500187.589714 -4.74348903287 36401.1965209 4.82420918594 1.04589259126 2.31011590726 -1.37069655017 1.60143512758 
-62.6032668731 -3.34147916787 1494087.78767 502349.009854 -329.043491869 37575.9749373 2.85011326543 2.10934400411 2.9546037701 -0.630692176233 2.47507112779 
-62.8794840022 -2.28097388323 1500480.12644 499844.943626 -10.652424545 34827.0949756 4.55756047414 1.06977088407 2.33412901591 -1.36177070473 1.56834476481 
-67.5818113451 -6.7891575472 1497741.76622 500658.601364 21.2516761139 39172.387269 5.96425136592 1.02808400837 2.10591181116 -1.39488861549 1.80967413166 
-63.6695038665 -2.95369038293 1496986.27954 500849.297836 8.03389872084 37324.2386036 5.36495034419 1.04719529075 2.25487931919 -1.38285531724 1.65969450401 
-66.7166247556 -6.03974909429 1502686.07298 499268.242039 9.32160468928 38209.1519131 5.4621141578 1.02910374935 2.11414201456 -1.37304673616 1.79492106752 
-65.555500707 -4.88175726004 1499675.02129 500009.293932 -2.39970230476 36333.5011381 4.9284192492 1.03743522343 2.28147477922 -1.37351834647 1.62597409854 
-67.4178041479 -6.70468632221 1500804.59102 499940.244297 4.26916641519 37458.8497548 5.22886977313 1.03007825275 2.25687372567 -1.38026868184 1.66887242642 
-62.2739305771 -3.01089856345 1496806.39517 501393.586937 -327.016043174 36733.4912533 2.96718050541 2.09918700596 2.95029389485 -0.640625080214 2.47493938483 
-64.8198872139 -4.19275425442 1502688.01332 499028.226358 1.87130956427 36449.3440227 5.11174676128 1.04948894559 2.20184610857 -1.36543067449 1.70160470396 
-64.1139607782 -3.44202245514 1499806.81546 499814.319743 -4.24176627557 35674.7477203 4.83672955798 1.06141262527 2.35299849209 -1.37595530317 1.55693634874 
-61.5789549097 -0.88007740473 1500804.25 499783.250912 0.925963668116 36869.8410655 5.08201521607 1.04235808649 2.2608375919 -1.37898066996 1.65141795839 
-62.7555336724 -3.48691986809 1497012.78544 501440.729999 -327.467025116 36438.164235 2.95257475227 2.09783564003 2.96000255465 -0.648787878226 2.48087244558 
-62.0192415456 -1.30471337981 1500754.5268 499831.563705 0.885572451428 37364.1607 5.08181940918 1.03394285258 2.25476452749 -1.38103303874 1.64713293697 
-69.0277555733 -8.27106593307 1505349.96348 498231.812233 -0.116856611185 35998.0953549 5.07929074833 1.06436478951 2.29807148686 -1.3921700709 1.62612063154 
-68.2369369793 -7.52033348913 1498668.54665 500730.470076 3.52223622882 38228.522954 5.20385745896 1.03073711731 2.21240157743 -1.38098588764 1.68943455859 
-63.4408272443 -4.17648018172 1499430.48765 500560.866639 -329.731529056 37041.5315747 2.87458160304 2.10219237789 2.96690404207 -0.639907158574 2.46298529178 
-69.270923023 -8.61668307434 1501241.32627 499575.375315 -3.89083727095 35042.3922322 4.89170725666 1.07206304201 2.27139524682 -1.37351207779 1.65207545959 
-64.6739815197 -5.41532763065 1498779.5278 500582.926287 -327.659765121 36777.088736 2.95221142232 2.09545371398 2.93403468783 -0.638059785732 2.47830645158 
-64.0191636064 -3.32790497473 1500930.44483 499586.634597 0.68344259641 37061.9078213 5.04753530733 1.03991428557 2.27034446137 -1.37727556699 1.62257665199 
-64.0361063664 -3.34930036856 1502129.11217 499279.40607 6.26496168892 37963.5369898 5.31581551677 1.03362971455 2.19579820104 -1.3756316615 1.71834956209 
-63.1396246756 -2.47030968826 1498593.68034 500302.700892 0.0827752068418 36601.6565903 5.02671482242 1.04719001619 2.27493650967 -1.37379835648 1.63787212978 
-63.3823999368 -2.73639016756 1497504.72595 500795.686572 5.11213958777 36603.8205817 5.22231465141 1.04678139001 2.22859515286 -1.36898904977 1.67460974093 
-66.149301367 -5.46321005497 1501282.55232 499633.739521 -5.90261001251 36460.6966413 4.78852175811 1.05564789306 2.33037268371 -1.37797499902 1.5807993824 
-66.9173217484 -6.23900841384 1504140.21487 498482.860622 1.41803649156 36843.5429526 5.12172973003 1.05398656412 2.21931859446 -1.37634431122 1.69102986919 
-62.1732351119 -1.47875653202 1500680.12224 499818.640077 3.64954481338 37606.9905997 5.20228161105 1.0323802547 2.20336780404 -1.3769737089 1.70256426944 
-62.9712774327 -3.70859525252 1494408.7114 502345.880806 -322.476860976 35373.8438068 3.14311291367 2.07945246764 2.93864332402 -0.654659121043 2.49615816294 
-63.2535239361 -2.56496844226 1495040.15454 501562.495611 8.84975609674 37028.052817 5.38622642549 1.04725785295 2.24532696348 -1.37758046841 1.6693120976 
-66.3552432653 -5.65807010686 1497255.76293 501009.606865 2.3745443781 36719.7451554 5.15900164119 1.04701501439 2.24760646086 -1.37915854797 1.68291913929 
-66.6712748938 -5.9682280478 1492551.38235 502375.797815 14.3849495582 38747.039438 5.6205434316 1.0175689172 2.182760675 -1.37695415053 1.72727811449 
-65.5612917488 -4.84000020323 1500587.71319 499788.716029 2.94210343441 37400.1342177 5.16251980739 1.03322317471 2.23591770363 -1.38228335228 1.66396708544 
-61.9864800269 -2.72518387884 1495154.48097 502057.133473 -327.938944477 37180.0316049 2.91511370998 2.10079982962 2.94881045914 -0.636722782087 2.47621655977 
-64.6402579481 -3.99458589284 1500284.70641 499946.503694 -8.33003968502 35762.4930322 4.66063004275 1.05846528329 2.33388241403 -1.37024657217 1.56069579414 
-61.4719123185 -0.790113927582 1502618.10026 499173.5359 -0.963440635171 36990.8657376 5.00306432402 1.03882950077 2.26244479306 -1.3752274934 1.64564759602 
-64.0063478455 -3.40022423918 1502381.08463 499050.951529 -6.48603259037 35741.4541514 4.75208166512 1.05090113284 2.27437926135 -1.36121212576 1.63677258795 
-64.3310890697 -3.64629972055 1498092.79718 500631.13108 7.75669837692 38016.1267733 5.34973951452 1.02377982696 2.21500350385 -1.37405117977 1.6979555945 
