#ess=665.726078328 nsamp=3328
#post like m1 m2 tRef dist phase inc lambda beta pol 
-64.6296861687 -3.65374237183 1497825.2979 500876.180858 53.3795170773 53680.9554696 2.65367789432 0.815745423985 1.68332947762 -1.39854497788 0.618918985868 
-69.9047299216 -10.2312670832 1500801.40069 499813.380889 -373.890423649 69935.4373206 3.88578773108 2.60032504054 2.9498374562 -0.47119687442 2.62442823578 
-65.6741145993 -6.33456217369 1497361.14101 501324.307488 -358.193225064 51671.8524399 4.78436161792 2.29456117986 2.97497136892 -0.543027999535 2.41272748677 
-66.2554694663 -5.26958175009 1500776.77672 499789.46559 77.6670915351 62734.3321405 5.10856077133 0.688531519458 1.41562627241 -1.37509019046 2.26777272046 
-66.1847545284 -6.11245879525 1497366.0761 501358.507179 -377.016070625 77806.4977905 1.97303388319 2.79092320408 2.95634703277 -0.456612434805 1.23302178908 
-62.3132661255 -3.04015206889 1499901.41115 500363.102175 -339.928460161 41002.6016199 4.00536685333 2.15132662505 2.95794930003 -0.609840336212 0.89503637342 
-63.0031056917 -3.73035406769 1499983.56754 500445.064365 -343.101839826 41607.289618 5.47981525353 2.15579182613 2.98752823446 -0.604769040276 2.41507080972 
-66.5375716722 -7.08524474455 1500005.74924 500154.243328 -366.970175152 61167.2816696 4.21238254865 2.43383610245 2.93010020038 -0.492770955957 2.5982915208 
-64.2256307153 -3.75118441565 1502217.68929 499103.001149 18.5347170547 40583.0685082 4.10737586092 0.996218976604 1.93629121245 -1.3228875987 0.271456780472 
-67.8001274302 -6.20644503238 1500964.16876 499591.407108 91.8506109138 75859.7673579 3.09244020871 0.40784428485 1.21529428777 -1.40037817602 2.93694051986 
-69.60458481 -6.9418769629 1500539.68304 499859.241258 93.361926534 82057.5178916 6.05364425293 0.132494331953 1.20773729365 -1.39502441165 2.69870305252 
-67.5140860376 -8.19585538149 1499909.2264 500531.228187 -354.539893903 49037.8086829 1.80593382587 2.25809206174 2.96828137181 -0.558705643546 2.43664569205 
-65.5526159939 -6.28316902934 1499433.96051 500821.923355 -336.230292405 39695.540641 1.00430090612 2.13416269631 2.95006374496 -0.619441727963 0.916937315765 
-69.6827785042 -9.21876349254 1499254.7873 500194.806661 40.8085915082 45404.4536297 3.44204882605 0.943347497017 1.74713642434 -1.31071343189 1.9634403291 
-67.7481234135 -6.33860332734 1498399.11776 500510.574089 98.5512238777 74375.9107235 3.68586830365 0.485285224721 1.15048946505 -1.39652727009 0.16006810447 
-67.6014335367 -6.85914600559 1504215.04041 498624.775099 24.082200718 43294.2882934 2.91068387745 0.958037559918 1.97378361626 -1.37689057253 1.89233800975 
-68.2190112789 -8.80084170768 1498827.69058 500568.196548 -364.967366921 58025.3591794 4.49308067509 2.39250102015 2.97014048663 -0.514813582107 2.40340444699 
-67.0413644046 -6.44539166353 1503067.0455 498921.837842 15.5580611868 40599.355831 5.61978354225 0.994086312549 2.01504871033 -1.35139737062 1.81722775844 
-66.5878924425 -5.81115810259 1502108.91755 499277.692724 27.2956915476 44961.3245685 6.1962291086 0.932907569044 1.94833968788 -1.38008279524 1.9198011707 
-67.6225585491 -7.01671539852 1497788.92318 500733.176781 64.7959297311 53234.2550571 6.04692659869 0.846963713753 1.55536223076 -1.32727076705 0.528447565632 
-67.3186408601 -6.74862642738 1500793.83508 499876.582059 40.8974593866 46388.3909111 3.50806193253 0.924970400292 1.75717290441 -1.33403834201 1.99312767492 
-66.592706179 -7.17217129923 1497175.94261 501252.49989 -371.147838488 62525.9211313 2.16280022894 2.42079874614 2.90174296966 -0.459703968688 1.30063782022 
-63.9698616346 -4.70073735306 1499084.92623 500589.78216 -336.271572822 39217.0290688 4.16547601751 2.13046929221 2.96224946991 -0.623209164487 0.89236836404 
-65.344957311 -5.88996075111 1499105.30712 500545.861942 -373.661359742 62690.9045724 1.13289719885 2.43973301766 2.98839816063 -0.484407672591 2.2372642245 
-65.9950210631 -4.60352624039 1499457.65875 500095.145151 87.9039554727 71302.960964 4.40788946144 0.523033341341 1.26064070536 -1.4051996893 1.24418077572 
-67.1695248246 -7.86459775979 1500351.93703 500026.093722 -370.212298761 52950.8626662 1.35022550559 2.2743635182 3.05019460877 -0.514733576371 2.18838693539 
-65.9612443532 -5.5511168192 1502191.11948 499341.827816 59.0778801237 48556.4520451 2.59529872313 0.919421085157 1.59488715374 -1.2908125812 0.457117180091 
-69.8574967171 -8.34335583576 1501311.2518 499609.619742 92.7059597586 75936.2339194 1.2752886032 0.40957210818 1.23200045535 -1.38680692648 1.07194844274 
-65.0880837726 -5.82107559114 1499636.50149 500542.493487 -340.649765708 40470.2312371 4.01635396097 2.13815024571 2.98574555435 -0.613023530645 0.845919345282 
-66.9306724566 -6.61411448836 1501258.64205 499353.789233 49.1762236484 45685.9744471 2.15108853758 0.954589234375 1.66100024254 -1.27079107939 0.400635137304 
-63.5765650972 -2.63145745115 1499237.47998 500177.599057 30.5775719179 44967.5409208 4.84378744092 0.940247898884 1.98963107782 -1.41081017939 0.367904294822 
-70.2525637063 -10.6769502526 1496557.8562 501419.60648 -383.380695977 71497.0507538 5.88202212047 2.55024179973 2.97165104991 -0.43117654259 0.169369584291 
-73.3263051603 -10.7942757986 1499567.73916 500589.946747 -375.45940189 82157.3029162 1.01157037969 3.11213890602 2.94785022406 -0.463094813477 2.28080878172 
-67.7898201948 -8.32597759884 1498421.68613 500941.674014 -368.732224767 62229.9488374 2.58848491228 2.44553018389 2.94022275235 -0.487464388861 0.992794249077 
-63.7322994074 -2.79274834238 1498513.15896 500448.608402 39.9527385712 48409.9986758 0.507887866506 0.889598134426 1.84877570177 -1.40344527238 2.04269112933 
-68.6435439648 -7.11802424991 1499845.37407 499909.724712 90.5010238807 74645.1568772 6.20542461908 0.446228436084 1.23278583087 -1.40316995937 2.95553003768 
-67.1149660886 -5.72451008472 1501307.56482 499560.709773 86.8638437642 70400.6254702 5.99311736072 0.54223904444 1.2590241072 -1.41036098982 2.87349690445 
-69.9794585962 -10.3496838332 1500086.69112 500098.999606 -374.378483609 69089.3628089 1.01227901122 2.57302993256 2.95903117472 -0.471705137563 2.33032954454 
-67.4187795602 -5.40067447006 1499163.86613 500385.833847 92.6441143175 80273.8339707 2.84423239326 0.248861642469 1.23018527148 -1.39110927803 2.64735739601 
-65.3280753272 -4.62666955555 1501193.86867 499608.509965 42.4512816537 48553.637267 5.21130410439 0.888444941983 1.75960480271 -1.35760355771 0.46380328866 
-65.6290042465 -6.24147355702 1500148.1076 500099.409822 -361.608467417 55746.9546542 1.4358352519 2.35862808996 2.94628091417 -0.522931255116 2.4842554313 
-64.6950793203 -3.96940258919 1500967.96415 499769.932444 34.9676387353 46258.3394706 3.32783313229 0.919052635582 1.84825140978 -1.36778028426 1.96465866116 
-73.86785309 -12.822614302 1502213.67992 499231.605987 104.109433375 68445.8495312 4.26248650677 0.642106879782 1.12268022287 -1.3751532147 0.518516492774 
-68.7713714646 -9.41186667106 1500286.29708 500056.111504 -376.671403353 58949.5308896 1.08449649455 2.35274554064 3.0292514168 -0.482651948971 2.16035934579 
-62.5412278577 -1.66429635702 1499102.97749 500367.618017 34.5372404803 46335.0142742 0.262362084015 0.919651524061 1.901481877 -1.39668333649 1.98689986896 
-70.6189772721 -9.17184372112 1499793.47785 499866.857882 91.1876291185 74446.8198475 5.63226293118 0.452181023012 1.24756818152 -1.39162836558 2.3429758376 
-65.2557846335 -5.44852687803 1499121.9829 500615.205272 -379.808641204 74991.8123892 2.83708551894 2.67963815077 2.9628520942 -0.447660600407 0.25514676897 
-68.9617294253 -6.58449703414 1500305.52093 500127.288278 89.5457948455 80981.836526 6.15077858363 0.173688918697 1.26279477877 -1.39193600764 2.91715445673 
-67.9639023147 -7.38996261533 1498236.07095 500558.574165 92.348752958 58152.4886946 3.94843245285 0.816642943792 1.34159961539 -1.31201293749 0.563988848015 
-66.6266994144 -5.66130615957 1502271.33205 499257.763959 32.5862331696 46151.574556 4.93845247307 0.920991908569 1.95351904387 -1.41173720198 0.400423812532 
-66.5773940964 -5.29373339214 1497902.89789 500677.242451 81.3758339649 67327.5291057 0.866628739474 0.595694943282 1.34569874589 -1.40657809028 1.05356778617 
