#ess=1369.02693618 nsamp=6845
#post like mchirp eta tRef dist phase inc lambda beta pol 
-9.3390037638 -5.06799866313 18.0629392024 0.24973562172 0.00362220581922 57.6081329838 3.63659833866 0.375998359463 3.44386750937 -0.0689159276827 2.38386250734 
-5.62597764857 -1.71553472217 18.0629394835 0.249736157776 -0.00607945334963 50.9899748127 2.48079595642 0.554622571324 3.4439311272 -0.0690823043777 1.13504944636 
-11.7321815304 -7.76061332061 18.0629390515 0.249736949309 0.00110051114052 54.5770993786 1.01883898484 0.518404904469 3.44419081079 -0.0719021646705 2.87748546201 
-6.7930190001 -2.66349032497 18.0629398928 0.249734886 -0.00701999169057 56.0260520955 4.36478319908 0.436982371247 3.44341986893 -0.0754899254531 2.9378697449 
-8.59195696569 -4.63726548536 18.0629398542 0.249736990145 0.0042548205442 56.4209290803 5.86727362726 0.52834343108 3.44263033671 -0.0765653494148 1.31479394498 
-5.69325979253 -1.87469733358 18.0629393682 0.249736452832 0.00889086974839 49.9711898466 4.38894096602 0.615571040027 3.44344303276 -0.0721068275971 3.03945495484 
-5.8856422669 -1.0461180123 18.0629399905 0.249736268875 -0.0077847124025 61.1905098461 3.36649655015 0.209634411216 3.44356316974 -0.0776190585376 1.90666099414 
-11.4190105446 -6.28423266657 18.0629402085 0.249736728114 0.0013294918253 64.3764109444 3.76610744341 0.155585577153 3.44443593072 -0.0823822711222 2.24220601223 
-7.44833714229 -3.22737821094 18.0629393007 0.249736418763 0.00587591400094 56.1404082235 5.48982836747 0.396184379814 3.44346902457 -0.0632442638223 1.02577608228 
-4.81543459415 -0.563967735436 18.0629397947 0.249737116713 0.0094394782701 56.7372735898 1.61968750445 0.383887166737 3.44373972743 -0.0719881299507 0.202445340063 
-10.1638143515 -6.39546569242 18.0629405285 0.249736372594 -0.00667216575695 51.5995827682 5.92959875122 0.653068234544 3.44411342489 -0.0820469742119 1.17837673278 
-5.40333823692 -0.930672678547 18.0629393227 0.249736372633 0.00632276312934 57.6584612845 5.22860550988 0.304937728481 3.44311750008 -0.0732910474799 0.780125280655 
-7.75371540158 -3.68012577094 18.0629398281 0.249736207933 0.00590468898729 54.3806298988 1.72499127676 0.463800315187 3.44387477776 -0.0691463688144 0.257543610183 
-7.45421715195 -3.73933372105 18.0629402162 0.249735102107 -0.00752160149366 47.613123695 1.54582257925 0.695016028816 3.44398161951 -0.0697443194378 0.0428169286179 
-5.19264275535 -1.48169341888 18.0629396243 0.249735766934 0.00140110062255 48.8348207401 3.57309784551 0.698356928231 3.44393302311 -0.0705859407897 2.19654003435 
-13.600116451 -9.15082247067 18.0629402546 0.24973735921 0.00944746128232 57.1559680497 2.6923047076 0.312103468277 3.44485835344 -0.060017757967 1.19464523028 
-5.8627248887 -2.14930801447 18.0629401882 0.249735839849 0.00160880747076 47.5535091819 0.385396116265 0.696283012131 3.44412892087 -0.0704707211198 2.02142369934 
-5.1230461842 -1.30076084707 18.0629395903 0.24973625002 0.00379048665855 50.6184649168 5.13851500992 0.613153984459 3.44375932943 -0.076100992224 0.635646390155 
-7.95291476496 -4.31076107453 18.0629397877 0.249736408149 -0.00451152285536 47.8391571089 5.19025856191 0.759414675754 3.44410951479 -0.0651835379331 0.663937443212 
-4.32307445096 -0.494850516593 18.0629397261 0.249736716441 0.0026936574411 50.7659332639 0.696608624128 0.608956472197 3.4437155929 -0.0753937442889 2.43869621639 
-8.79828085623 -5.3207973819 18.0629391846 0.249735342985 -0.00112437867789 37.8075203691 5.9040166705 0.948484673114 3.44279586412 -0.0787168320752 1.4626423213 
-7.97646352631 -2.74453235746 18.0629393734 0.249736274221 -0.00209101705565 60.5351072735 1.11373697106 0.141025395152 3.44356685431 -0.0776200602669 2.94843225952 
-6.46503541077 -2.51057751129 18.0629397126 0.249735888688 0.0068235668345 52.4457654002 0.747774940434 0.528135368845 3.44337844008 -0.0684403417818 2.52302736854 
-5.82453775307 -1.45801914711 18.0629396183 0.249737279347 -0.00667321743739 56.1081309478 3.7843105717 0.34041995357 3.44365053129 -0.0744018646259 2.38837635441 
-8.17283903886 -4.46751496501 18.0629396983 0.249737483999 0.00748278520827 45.1857339164 2.37367100523 0.702999326305 3.44323536223 -0.0688507780201 0.956484658541 
-5.39926542337 -1.81472028243 18.0629396245 0.249737042337 0.00504204276977 41.6983280856 6.18322216489 0.818116689225 3.44300814167 -0.0755771261438 1.64508974949 
-6.86591418587 -2.54571420137 18.0629399114 0.249736749954 0.00103257764055 54.5095819597 0.904666048221 0.357393350854 3.44394154925 -0.0789333553557 2.61034742837 
-5.72182368939 -2.01543552166 18.0629396479 0.249736976655 0.00364809717379 48.0246744257 3.84452860139 0.702055424492 3.44385158881 -0.0681099001336 2.44011241748 
-5.72015834403 -1.71523354061 18.0629395861 0.249735401911 -0.000391259339169 52.9289772115 1.50665006642 0.499999021032 3.44319017887 -0.0770697010831 0.127257905753 
