#ess=1345.94819491 nsamp=6729
#post like mchirp eta tRef dist phase inc lambda beta pol 
-6.73437474814 -4.41014827657 46.4798306207 0.242868126989 0.00337753546095 328.783511437 3.20464404152 1.84958417751 5.66118438967 -0.0170883577464 2.29889111455 
-5.69189994369 -3.34824858302 46.4798249286 0.24286979454 0.0090302546607 344.276937395 0.0552152521166 1.91001604927 5.6599158441 0.0233569620903 2.16373579299 
-6.81748693963 -4.4252217327 46.4798229292 0.242857920835 0.0054789702382 379.585286323 4.46277141807 2.02332112708 5.66193829032 -0.0542592872943 0.848696000561 
-7.5260161544 -5.10056479028 46.479826281 0.242870451154 0.000243261737345 455.113157403 1.7531271743 2.08425867892 5.66290064641 -0.0733063860155 0.438889090916 
-9.37953346113 -6.77612505614 46.4798264856 0.242862183839 -0.00984003728857 494.641031919 1.00158376223 2.32711611757 5.66341855661 0.027512820024 1.29694699898 
-10.9929653793 -8.55493235193 46.4798222063 0.242860387639 -0.00358051656971 462.797264552 2.55906317311 2.10744370722 5.66229676587 0.060632045987 2.70984278799 
-5.61396649801 -3.14393288442 46.4798257582 0.242863462749 -0.00921302458859 433.884259516 4.69219333585 2.16097313822 5.66040602167 -0.00515667826395 0.652603733365 
-16.1586258946 -12.1970677463 46.4798189912 0.242862163291 0.00939934478612 714.899860261 4.66775483539 2.95351795451 5.66626862446 0.00833479858478 0.456828032067 
-5.9637635591 -3.62281581211 46.4798261378 0.242862067857 -0.00544004576928 283.211788122 1.65980672113 1.89812840002 5.66460663642 -0.0580287792566 0.58342572133 
-9.22622014652 -6.18133279204 46.4798262816 0.24287074243 0.00272522065934 656.007931531 2.21875272774 2.65456298292 5.66041518513 -0.0424609264586 0.0641534678454 
-10.4931982714 -8.0929085689 46.4798222678 0.242856553326 -0.00918554302512 317.666770517 1.43931536128 2.04091793569 5.6607592927 -0.0387155985009 0.567106484216 
-4.5983286167 -2.22405076537 46.4798292667 0.242868844655 0.00543904768983 352.829259554 4.88439438915 1.98582102133 5.6596902629 -0.0414147675918 0.636038770874 
-9.1434816365 -6.6182304353 46.4798261988 0.242872347248 -0.00426065728224 420.664163412 4.32556724014 2.236315084 5.66172544137 -0.0318215190719 1.04357103184 
-4.67539188625 -2.36492307233 46.4798252152 0.242867096835 0.00649897494767 258.768015643 4.67402820242 1.78906245602 5.66066470492 -0.059179913402 0.62132923348 
-10.4123919968 -8.0815073436 46.4798201537 0.24286465622 0.00414249043674 319.912635836 5.86827090894 1.87150181663 5.66558946337 -0.0232132858919 2.37852512883 
-10.6812387997 -8.19276829847 46.4798299468 0.242871435231 -0.00804919054171 547.167501079 0.375774755367 2.18772693361 5.66370526369 -0.00328291913972 2.01197813152 
-9.5098675042 -6.09920691468 46.4798254259 0.242866328496 0.000561980858117 695.414928539 1.45770845276 2.81049684719 5.66023976167 0.0673552113823 0.724707170278 
-7.50210505465 -5.15290318129 46.4798290004 0.242869825597 -0.0089536268777 373.104688603 6.27606073219 1.92610097819 5.65883022762 0.00177066417044 2.29529833581 
-9.49095682793 -7.10446446459 46.4798216456 0.242862468345 0.000313367904671 427.928393395 2.69821662078 2.00785536729 5.66275423228 0.0783411868462 2.41414723997 
-9.75533506985 -6.86620186687 46.4798270159 0.242866948711 -0.00126073795935 634.997810745 2.66519410479 2.56293236656 5.66517198016 -0.0434447954896 2.77640259984 
-8.53702172196 -5.95529909782 46.4798245396 0.242865805171 0.000107722106172 454.378934247 4.61185185354 2.30170528855 5.66405693522 -0.064264790293 0.590287846328 
-6.5838323346 -4.14070410083 46.4798294981 0.242861859786 0.00745555105163 362.032940121 3.39338085612 2.11816150665 5.66012614272 -0.030998842334 2.14778000223 
-7.50221642691 -5.00044730268 46.4798253299 0.242875416953 0.00658064153491 437.403382691 1.64448815241 2.20474111214 5.6625648591 -0.0450871178551 0.546909869928 
-9.53196550435 -7.16072621589 46.4798233662 0.242876708102 -0.00695100390828 364.99316612 1.65027953038 1.97921281249 5.66191168139 -0.0375441746932 0.533163822342 
