#ess=2115.85935723 nsamp=10579
#post like m1 m2 tRef dist phase inc lambda beta pol 
-62.9365035412 -2.78266611627 1546974.08904 487992.560435 -1050.79759094 88344.791642 4.93124544336 0.733679743779 6.00570131625 -1.12986468147 0.617470122486 
-62.1395136426 -2.50752463515 1377467.16269 537969.526355 1655.85061044 107221.221499 3.09994483775 2.57781126987 2.5246606166 0.485148535104 2.04418630428 
-63.088201677 -3.96114660555 1579585.1256 479553.132846 -956.068988409 66537.9487532 4.47703742494 0.99265199836 5.35158513715 -0.297713306065 1.33974898391 
-62.1974194022 -2.95067344196 1753438.9327 439470.778163 -3174.90002581 76401.242542 3.63063527967 0.816680176129 5.92300194414 0.131374208077 0.715832320372 
-61.2306163555 -1.94392169219 1596861.93426 474409.034154 -1521.57392364 84911.3693882 5.53402117496 2.3824571107 2.84574589591 -0.1290882768 1.8959597861 
-64.0323810917 -4.65697353545 1629541.34331 466573.822022 -2664.67605465 82899.4872158 3.11399566204 2.45435008264 2.85704191899 -0.154217764412 2.23435196419 
-65.6212077375 -6.27506797422 1168012.659 623383.130837 3396.05805424 98579.7885139 2.70996618827 2.42408167637 2.99635987602 -0.347656512939 2.35541885919 
-62.3961847653 -2.87136157673 1587790.02698 477829.519764 -2337.1618984 70221.3460099 2.65336253324 2.57068337869 4.02967441879 0.0785035045758 2.24088958326 
-62.1595933843 -2.73918313694 1624008.77357 468054.839752 -1512.47955346 86452.3624607 1.72835503855 0.659046998823 5.56907372481 -0.208083221732 1.38537225092 
-65.283431431 -6.12917284686 1144466.12232 635851.653466 2443.53329896 62987.9897892 1.82211581606 2.28787385473 3.80005493737 -0.117698222411 1.49948243936 
-64.5123286774 -4.78581307902 1133327.5032 641788.674853 3123.04687121 85635.265677 3.12312294773 2.31643948901 3.71150832869 0.958658346902 2.99771963156 
-64.8401223255 -4.86007134241 1202380.18575 607975.317903 2203.70752781 130628.597388 0.711374155881 2.79057067547 3.61191913833 0.292476094121 2.34525351514 
-66.805705076 -5.82707956729 1445639.53417 516796.239624 1089.07522818 103650.476175 1.33330462161 0.12800589539 0.0912329026375 0.240986647754 2.16847907342 
